ID,City,Latitude,Longitude
442,Fruitdale,31.348843,-88.376597
443,Fruithurst,33.771732,-85.43814
444,Fulton,31.790947,-87.708065
445,Fultondale,33.611283,-86.813614
446,Furman,32.006667,-86.966944
447,Fyffe,34.437284,-85.928849
448,Gadsden,33.997248,-86.010279
449,Gainestown,31.425822,-87.682176
450,Gainesville,32.908364,-88.271558
451,Gallant,33.997586,-86.234606
452,Gallion,32.529771,-87.698542
453,Gantt,31.416909,-86.419836
454,Garden City,34.014444,-86.746944
455,Gardendale,33.71891,-86.822481
456,Gaylesville,34.357324,-85.558893
457,Geneva,31.041445,-85.884748
458,Georgiana,31.628662,-86.733965
459,Geraldine,34.343864,-86.040393
460,Gilbertown,31.866602,-88.326514
461,Glen Allen,33.899444,-87.730278
462,Glenwood,31.664143,-86.170972
463,Goodsprings,33.668889,-87.231667
464,Goodwater,33.074642,-86.078149
465,Goodway,31.336667,-87.425833
466,Gordo,33.346917,-87.900504
467,Gordon,31.10019,-85.123412
468,Goshen,31.82497,-86.104851
469,Grady,32.019397,-86.129246
470,Graham,33.462976,-85.334034
471,Grand Bay,30.498288,-88.32825
472,Grant,34.495902,-86.259041
473,Graysville,33.63356,-86.948221
474,Green Pond,33.225,-87.126389
475,Greensboro,32.716721,-87.590494
476,Greenville,31.810036,-86.622919
477,Grove Hill,31.675502,-87.763571
478,Groveoak,34.435874,-86.040023
479,Guin,33.967624,-87.90238
480,Gulf Shores,30.268954,-87.712795
481,Guntersville,34.32193,-86.305463
482,Gurley,34.713964,-86.394028
483,Hackleburg,34.267803,-87.860762
484,Haleyville,34.231423,-87.593811
485,Hamilton,34.153413,-88.008521
486,Hanceville,34.051569,-86.784844
487,Hardaway,32.312939,-85.883837
488,Harpersville,33.36746,-86.429441
489,Hartford,31.08598,-85.719204
490,Hartselle,34.448206,-86.924235
491,Harvest,34.82732,-86.749929
492,Hatchechubbee,32.284531,-85.302882
493,Hayden,33.885806,-86.81767
494,Hayneville,32.195707,-86.654994
495,Hazel Green,34.949627,-86.593484
496,Headland,31.353406,-85.332277
497,Heflin,33.611515,-85.588471
498,Helena,33.316978,-86.813786
499,Henagar,34.618604,-85.727381
500,Higdon,34.873247,-85.622507
501,Highland Home,31.928292,-86.297111
502,Hillsboro,34.64763,-87.180379
503,Hodges,34.341664,-87.959023
504,Hollins,33.1175,-86.144444
505,Holly Pond,34.190085,-86.617441
506,Hollytree,34.798979,-86.233627
507,Hollywood,34.730428,-85.953173
508,Holy Trinity,32.222222,-85.005278
509,Honoraville,31.878397,-86.398064
510,Hope Hull,32.224256,-86.393189
511,Horton,34.190033,-86.317318
512,Houston,34.118042,-87.26183
513,Huntsville,34.726866,-86.567318
514,Hurtsboro,32.245429,-85.395903
515,Huxford,31.22,-87.461944
516,Ider,34.735059,-85.641577
517,Irvington,30.480241,-88.239563
518,Jachin,32.244174,-88.233356
519,Jack,31.552392,-86.043083
520,Jackson,31.513098,-87.867192
521,Jacksons Gap,32.879698,-85.848662
522,Jacksonville,33.830966,-85.77518
523,Jasper,33.871672,-87.249144
524,Jefferson,32.386667,-87.898056
525,Jemison,32.980539,-86.718052
526,Jones,32.608515,-86.889266
527,Joppa,34.283739,-86.551939
528,Kansas,33.901667,-87.551944
529,Kellerman,33.340556,-87.304722
530,Kellyton,32.979068,-86.048397
531,Kennedy,33.574964,-88.05172
532,Kent,32.618889,-85.948611
533,Killen,34.901632,-87.508185
534,Kimberly,33.768355,-86.808417
535,Kinston,31.262118,-86.069532
536,Knoxville,32.982423,-87.791855
537,Laceys Spring,34.499647,-86.612869
538,Lafayette,32.925237,-85.442563
539,Lanett,32.861609,-85.21608
540,Langston,34.497831,-86.10563
541,Lapine,31.985423,-86.278534
542,Lawley,32.864558,-86.956708
543,Leeds,33.528333,-86.574824
544,Leesburg,34.191083,-85.77051
545,Leighton,34.710982,-87.522133
546,Lenox,31.327261,-87.19671
547,Leroy,31.491021,-87.968672
548,Lester,34.918364,-87.143396
549,Letohatchee,32.086199,-86.488013
550,Lexington,34.955924,-87.393519
551,Lillian,30.39724,-87.474452
552,Lincoln,33.605913,-86.111152
